BASE_YM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,SIGNGU_ACCTO_FCLTY_CO,SIGNGU_ACCTO_POPLTN_CO,PSNBY_FCLTY_CO,PSNBY_FCL_CO_RANK_CO
"202009","4100000000","경기도","4161000000","광주시","59","380291","0.00016","197"
"202009","4100000000","경기도","4163000000","양주시","200","229427","0.00087","89"
"202009","4100000000","경기도","4165000000","포천시","102","147803","0.00069","106"
"202009","4100000000","경기도","4167000000","여주시","69","111512","0.00062","113"
"202009","4100000000","경기도","4180000000","연천군","78","43590","0.00179","49"
"202009","4100000000","경기도","4182000000","가평군","76","62551","0.00122","77"
"202009","4100000000","경기도","4183000000","양평군","92","118433","0.00078","95"
"202009","4200000000","강원도","4211000000","춘천시","205","282012","0.00073","100"
"202009","4200000000","강원도","4213000000","원주시","350","353189","0.00099","82"
"202009","4200000000","강원도","4215000000","강릉시","354","213055","0.00166","53"
"202009","4200000000","강원도","4217000000","동해시","80","90575","0.00088","87"
"202009","4200000000","강원도","4219000000","태백시","150","42937","0.00349","25"
"202009","4200000000","강원도","4221000000","속초시","72","82457","0.00087","88"
"202009","4200000000","강원도","4223000000","삼척시","89","65639","0.00136","71"
"202009","4200000000","강원도","4272000000","홍천군","169","69164","0.00244","35"
"202009","4200000000","강원도","4273000000","횡성군","144","46482","0.00310","26"
"202009","4200000000","강원도","4275000000","영월군","153","38698","0.00395","18"
"202009","4200000000","강원도","4276000000","평창군","96","41706","0.00230","38"
"202009","4200000000","강원도","4277000000","정선군","72","36956","0.00195","44"
"202009","4200000000","강원도","4278000000","철원군","32","44799","0.00071","102"
"202009","4200000000","강원도","4279000000","화천군","39","24855","0.00157","57"
"202009","4200000000","강원도","4280000000","양구군","57","22315","0.00255","33"
"202009","4200000000","강원도","4281000000","인제군","41","31538","0.00130","73"
"202009","4200000000","강원도","4282000000","고성군","56","26787","0.00209","42"
"202009","4200000000","강원도","4283000000","양양군","78","27940","0.00279","28"
"202009","4300000000","충청북도","4311000000","청주시","867","844110","0.00103","81"
"202009","4300000000","충청북도","4313000000","충주시","321","210299","0.00153","61"
"202009","4300000000","충청북도","4315000000","제천시","39","133246","0.00029","167"
"202009","4300000000","충청북도","4372000000","보은군","51","32522","0.00157","58"
"202009","4300000000","충청북도","4373000000","옥천군","299","50745","0.00589","6"
"202009","4300000000","충청북도","4374000000","영동군","73","47679","0.00153","60"
"202009","4300000000","충청북도","4374500000","증평군","10","37122","0.00027","170"
"202009","4300000000","충청북도","4375000000","진천군","214","82362","0.00260","31"
"202009","4300000000","충청북도","4376000000","괴산군","23","37368","0.00062","114"
